filename,amplitude_modulation,autocorrelation,centroid_modulation_depth,crest_factor,energy_decay,harmonic_ratio,inter_peak_interval_variance,modulation_energy,post_onset_energy_ratio,rms,secondary_peak_count,spectral_bandwidth,spectral_centroid,spectral_flatness,spectral_flux,spectral_flux_variance,spectral_rolloff,sustain_ratio,temporal_centroid,zcr
EGFxSet_BluesDriver_Bridge_1-0.wav,0.06833211,0.9731565,1161.28022527351,1.8146676,-0.002222881076060158,0.9735154,7.673469387755101,0.4757685,0.9929636,0.48763192,18,3871.8210009745353,3379.977143990376,0.0025695318,0.6690967,0.12361944,7047.952277588457,0.99903005,2.2821118496047164,0.04798661
EGFxSet_BluesDriver_Bridge_1-1.wav,0.055279452,0.95954305,1133.0859977543198,2.2815855,-0.0040205791722343264,0.970603,17.135802469135804,0.60155237,0.99081457,0.3848207,33,3899.985833722095,3609.0643472267097,0.0017406519,0.64000386,0.12951705,7358.9097166835845,0.9978761,1.9846684258154053,0.06342886
EGFxSet_BluesDriver_Bridge_1-10.wav,0.0774167,0.9567015,1454.2939767381415,2.1174724,-0.005344046746259635,0.9660785,68.54209919261822,0.71797514,0.9909253,0.39604548,18,3641.736509258806,3601.4535475748694,0.0034514242,0.76178724,0.114798576,7030.316034657772,0.9983446,1.8764445278989452,0.065855175
EGFxSet_BluesDriver_Bridge_1-11.wav,0.0952902,0.962109,1371.365101532361,2.0202365,-0.005722304569288994,0.97182304,48.95511087074094,0.7272077,0.992433,0.43927196,16,3629.656937341036,3540.6788314492605,0.0015183612,0.7556647,0.120484196,6921.301071273202,0.99935347,1.8751514997097187,0.061519552
EGFxSet_BluesDriver_Bridge_1-12.wav,0.09958039,0.95950204,1227.6998336491295,2.12944,-0.006265702203342046,0.9574371,104.9218407596786,0.73218524,0.9904694,0.4166004,4,3600.5405616527046,3516.1022921702693,0.0020428977,0.72567856,0.17382947,6820.179950333527,0.99845624,1.679651172706615,0.069174916
EGFxSet_BluesDriver_Bridge_1-13.wav,0.07522466,0.9373573,1459.4763647740974,2.6419868,-0.00716730815118243,0.95339715,62.324074074074076,0.7437437,0.9870521,0.3356236,2,3435.7066729095886,3582.5315334589864,0.0027181602,0.73315006,0.1465903,6659.7051279727375,0.9979607,1.4420759967573307,0.080807626
EGFxSet_BluesDriver_Bridge_1-14.wav,0.078649625,0.947167,1394.0754427216714,2.5430586,-0.006726338596871282,0.9429489,63.604345857854234,0.74067444,0.9918689,0.34977603,6,3418.9863772044,3484.6598287198894,0.001833807,0.78724396,0.35201165,6527.208481366009,0.9945083,1.537454680110473,0.07617268
EGFxSet_BluesDriver_Bridge_1-15.wav,0.0853096,0.9691118,1006.0928503826506,2.5077949,-0.006433105818579569,0.9308181,61.1134693877551,0.72512925,0.98854995,0.36852112,13,3132.530113202107,2988.499779366903,0.0013739093,0.7489948,0.14475591,5502.257989232889,0.99755377,1.4205449477091707,0.065560386
EGFxSet_BluesDriver_Bridge_1-16.wav,0.09835648,0.97433615,1025.6550306743143,2.3659759,-0.006841732108207296,0.9444127,13.12143503847895,0.79530185,0.9885637,0.36719668,42,3179.5706396905216,3036.3857732199176,0.002407897,0.7133801,0.19102202,5639.5508945403135,0.9959844,1.232032142628698,0.06521118
EGFxSet_BluesDriver_Bridge_1-17.wav,0.069366954,0.9371089,1423.2923835173083,2.5816839,-0.006309544895784183,0.9453159,13.652449910731995,0.7379792,0.987384,0.3405426,29,3624.9696810219684,3810.425822299583,0.0021283089,0.7325403,0.120838225,7201.3326339544665,0.9982515,1.4661201553168448,0.084721476
EGFxSet_BluesDriver_Bridge_1-18.wav,0.0854973,0.94645935,1313.7512213269558,2.4800172,-0.0063622295491287196,0.93295,14.223157894736847,0.7112088,0.9868351,0.3668794,48,3420.522852684673,3463.7744299332935,0.0017407706,0.750043,0.11558016,6457.412925065255,0.9984568,1.4315222394771159,0.07818176
EGFxSet_BluesDriver_Bridge_1-19.wav,0.06731395,0.9395418,1433.3576682427783,2.6651473,-0.006499761035791865,0.9397513,23.04520710059171,0.73202163,0.98620665,0.32698214,28,3532.4422322409087,3666.715456897168,0.003485134,0.7522622,0.30487323,6833.019934563515,0.9956821,1.447100853295674,0.08152418
EGFxSet_BluesDriver_Bridge_1-2.wav,0.044676375,0.97836614,1336.1610401237497,2.5425718,-0.0038265001696776214,0.98354566,9.774005190311417,0.57133937,0.99000156,0.34892303,17,3865.131398743881,3706.045159901867,0.0012252101,0.63800347,0.11177072,7481.314235607599,0.9977545,2.048410531950141,0.06866698
EGFxSet_BluesDriver_Bridge_1-20.wav,0.06477817,0.9252806,1465.2650654732456,2.8900936,-0.0071338329201051185,0.9494486,49.957571938668345,0.75542474,0.94432265,0.30282122,20,3481.567267129991,3717.4990116581403,0.0036882628,0.7612162,0.34439242,6924.348693989269,0.9971017,1.2987818584552788,0.08966027
EGFxSet_BluesDriver_Bridge_1-21.wav,0.06738788,0.92083526,1492.938683263278,2.6122956,-0.005490152735152739,0.9237771,18.71985157699444,0.66557926,0.98607415,0.35247698,47,3669.0833935063556,3931.1710613130563,0.0019880412,0.72320557,0.09411041,7405.2735507903135,0.99780387,1.574413265894947,0.09161946
EGFxSet_BluesDriver_Bridge_1-22.wav,0.06644672,0.9431381,1634.3572224604318,2.4855087,-0.005457565669257957,0.8644672,26.23107084910763,0.6248409,0.97183067,0.35586756,59,3379.8754567362143,3277.455823507245,0.003091995,0.7763455,0.1205984,6338.605600166763,0.9964412,1.6860407488796934,0.0719323
EGFxSet_BluesDriver_Bridge_1-3.wav,0.07676939,0.9679572,1380.4241638932756,1.9608544,-0.0027008716067097225,0.96974754,19.169494459833793,0.51985586,0.992324,0.47381726,32,3720.756779569103,3439.4409260334887,0.0014901131,0.7025209,0.14890164,6993.994367205626,0.9989662,2.235769376893558,0.05395943
